index,text,happinness,sadness,Soledad,Ilusión,Ensoñación,Grandiosidad ,Orgullo,Irritabilidad,Ansiedad,Ira,Inestabilidad,Idealización,Depresión ,Desilusión,Aversión ,Inseguridad,Impotencia,Vulnerabilidad,Temor,Obsesión,Compulsión,Prejuicio,Dramatización,valence,arousal,anger,fear,disgust,concreteness,imageability,context availability
0,"¿Quién eres tú, gigante, en cuya frente
se detienen las nieblas apiñadas,
en tanto que a tus plantas, humilladas
rugen las tempestades sordamente?...

Tu fantástica forma sorprendente,
tus crestas a los cielos levantadas,
tus abismos, tus rocas despeñadas,
¿qué misterios encubren a la mente?...

¿Y pretendo tu origen misterioso
penetrar, al través del tiempo inmenso
que miraste pasar?... De luz un rayo

ilumina mi espíritu; y lloroso,
que eres la tumba perdurable pienso
del pueblo antiguo que habitó en Yucayo.

",1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,1.0,1.0,1.0,3.0,2.0,1.0
1,"Esa inquietud que sin cesar te agita,
ese tormento que te oprime el pecho,
y pone abrojos al mullido lecho,
y tu semblante virginal marchita.

Esa lucha fatal que se concita
del corazón en el recinto estrecho,
y le arranca suspiros al despecho
en continua aflicción y amarga cuita;

ese dulce mirar, tu afecto tierno
que revelan un alma candorosa
que pugna por vencer un mal interno;

esa delicia, en fin, que misteriosa
con las penas se mezcla del infierno;
esa es la llama del amor, hermosa.

",3,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,3,3.0,1.0,2.0,1.0,2.0,1.0,1.0
2,"Hay una Alondra en nuestro hermoso valle
que tierno atisba un cazador atento:
Ave divina cuyo dulce acento
al coro manda volador que calle.

Y calla, y se suspende el escuchalle...
que de la Alondra al divinal concento
plega sus alas de placer el viento,
y no hay ave ni flor que no avasalle.

Triunfante su expresión desde su nido
el valle todo con su voz encanta,
y está el amor ante sus pies rendido.

Nada turba el trinar de su garganta,
y si suena en el bosque algún gemido
es de la voz del cazador que canta.

",1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,1.0,1.0,4.0,3.0,4.0
3,"Nace fragante, delicada, hermosa,
rica en colores, tímida y galana,
entre perlas que riega la mañana
en verde tallo la encendida rosa.

El aura la acaricia voluptuosa;
en agradarla el colibrí se afana;
y la rosa gentil de la sabana
es el hechizo y la adorada diosa.

Pero si envuelto en polvoroso aliento
con torpe labio y bárbara inclemencia
besa la flor el huracán violento,

entonces mustia, sin color ni esencia
muere infeliz, cual muere en un momento
al contacto del vicio la inocencia.

",1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3.0,3.0,3.0
4,"No luce el sol en el oriente un día
sin que nazca en mi pecho una esperanza;
mas ese bien de la ilusión no alcanza
a dar consuelo a mi desgracia impía.

El prisma hermoso de la infancia mía
hízome ver la dicha en lontananza,
y soñar ese bien que no se alcanza
y con delirio el corazón ansía.

Pasaron mis risueñas mocedades:
el cabello se encuentra encanecido,
sin fuerza ni vigor mis facultades.

Despierto del letargo en que he dormido;
quiero gozar al fin las realidades,
y encuentro sólo que ilusión ha sido.

",1,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,2,3.0,1.0,2.0,1.0,2.0,2.0,2.0
5,"Soñaba yo que por la senda hermosa
de la virtud la humanidad corría,
y el sol de la verdad resplandecía
llenando el orbe de su luz radiosa.

La torpe envidia, la calumnia odiosa
abaten su poder y bastardía;
y a la voz del progreso se veía
la sociedad aparecer dichosa.

Un pueblo sólo es el linaje humano,
triunfa la ilustración, y por su empeño
su templo cierra para siempre Jano...

A tan mágico cuadro y halagüeño,
al arpa de oro le tendí la mano
por cantar tanto bien... ¡mas era un sueño!...

",4,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,"Esta hoja arrebatada a una corona
que la fortuna colocó en mi frente
entre el aplauso fácil e indulgente
con el primer ensayo se perdona.

Esta hoja de un laurel que aún me emociona
como en aquella noche, dulcemente
por más que mi razón comprende y siente
que es un laurel que el mérito no abona.

Tú la viste nacer, y dulce y buena
te estremeciste como yo al encanto
que produjo al rodar sobre la escena.

Guárdala y de la ausencia en el quebranto
que te recuerde de mis besos, llena,
al buen amigo que te quiere tanto.

",1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,1.0,1.0,3.0,2.0,2.0
7,"Cuando tu broche apenas se entreabría
para aspirar la dicha y el contento,
¿te doblas ya y cansada y sin aliento
te entregas al dolor y a la agonía?

¿No ves acaso, que esa sombra impía
que ennegrece el azul del firmamento
nube es tan sólo que al soplar el viento,
te dejará de nuevo ver el día?

¡Resucita y levántate!... Aún no llega
la hora de que en el fondo de tu broche
des cabida al pesar que te doblega.

Injusto para el sol es tu reproche,
que esa sombra que pasa y que te ciega,
es una sombra, pero aún no es la noche.

",3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,3,2.0,1.0,3.0,1.0,2.0,2.0,1.0
8,"Cuando todo era flores tu camino,
cuando todo era pájaros tu ambiente,
cediendo de tu curso a la pendiente
todo era en ti fugaz y repentino.

Vino el invierno con sus nieblas vino
el hielo que hoy estanca tu corriente,
y en situación tan triste y diferente
ni aún un pálido sol te da el destino.

Y así en la vida el incesante vuelo
mientras que todo es ilusión, avanza
en sólo una hora cuanto mide el cielo.

Y cuando el duelo asoma en lontananza
entonces como tú cambiada en hielo
no puedes reflejar ni al esperanza.

",2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,2.0,2.0,3.0
9,"Sonaron las campanas de Dolores,
voz de alarma que el cielo estremecía,
y en medio de la noche surgió el día
de augusta libertad con los fulgores.

Temblaron de pavor los opresores
e Hidalgo audaz al porvenir veía,
y la patria, la patria que gemía,
vió sus espinas convertirse en flores.

¡Benditos los recuerdos venerados
de aquellos que cifraron sus desvelos
en morir por sellar la independencia;

aquellos que vencidos, no humillados,
encontraron el paso hasta los cielos
teniendo por camino su conciencia!

",3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,2.0,2.0,3.0,2.0,2.0,3.0
